primary_key,input_street,input_zone,x,y,score,locator,matchAddress,standardizedAddress,addressGrid,message
F21-85380,1260 E 8600 S,84094.0,427730.6612376312,4494064.921513715,100.0,AddressPoints.AddressGrid,"1260 E 8600 S, SALT LAKE CITY",1260 east 8600 south,SALT LAKE CITY,
F18-68440,1220 E Vine St,84121.0,427558.25800959824,4499182.588139108,100.0,AddressPoints.AddressGrid,"1220 E VINE ST, SALT LAKE CITY",1220 east vine street,SALT LAKE CITY,
F20-82540,665 E 7800 S,84047.0,426150.6619422359,4495815.138009008,100.0,AddressPoints.AddressGrid,"665 E 7800 S, SALT LAKE CITY",665 east 7800 south,SALT LAKE CITY,
F13-37077,13249 South Redwood Rd,84065.0,420605.07994891144,4484830.768228577,100.0,AddressPoints.AddressGrid,"13249 S REDWOOD RD, SALT LAKE CITY",13249 south redwood road,SALT LAKE CITY,
F21-87769,332 S 100 W,84651.0,437369.73159813404,4432392.7973381,100.0,AddressPoints.AddressGrid,"332 S 100 W, PAYSON",332 south 100 west,PAYSON,
F10-5966,8446 S Harrison Street,84047.0,423772.7686722792,4494524.281765867,100.0,AddressPoints.AddressGrid,"8446 S HARRISON ST, SALT LAKE CITY",8446 south harrison street,SALT LAKE CITY,
F17-58194,2890 E Cottonwood Parkway,84121.0,431487.85356904124,4498304.529075389,100.0,AddressPoints.AddressGrid,"2890 E COTTONWOOD PKWY, SALT LAKE CITY",2890 east cottonwood parkway,SALT LAKE CITY,
F10-4116,945 Country Ln,84765.0,266044.66745348764,4111910.545609905,100.0,AddressPoints.AddressGrid,"945 COUNTRY LN, SANTA CLARA",945 country lane,SANTA CLARA,
F18-64114,35 E 500 S,84111.0,424865.0532018487,4512357.189160562,100.0,AddressPoints.AddressGrid,"35 E 500 S, SALT LAKE CITY",35 east 500 south,SALT LAKE CITY,
F21-87800,5979 Fashion Blvd,84107.0,425365.1881034468,4499242.60859364,100.0,AddressPoints.AddressGrid,"5979 FASHION BLVD, SALT LAKE CITY",5979 fashion boulevard,SALT LAKE CITY,
F15-47114,2001 S State Street,84115.0,425035.8828119697,4508931.961133914,100.0,AddressPoints.AddressGrid,"2001 S STATE ST, SALT LAKE CITY",2001 south state street,SALT LAKE CITY,
F20-82541,3595 S 3600 W,84119.0,417476.6475154252,4505252.932797565,100.0,AddressPoints.AddressGrid,"3595 S 3600 W, SALT LAKE CITY",3595 south 3600 west,SALT LAKE CITY,
F15-43097,1110 W 3300 S,84119.0,422020.85190467775,4505860.4374353215,100.0,AddressPoints.AddressGrid,"1110 W 3300 S, SALT LAKE CITY",1110 west 3300 south,SALT LAKE CITY,
F10-26983,302 Chimes View Drive,84405.0,418308.2613157616,4560496.111857813,100.0,AddressPoints.AddressGrid,"302 CHIMES VIEW DR, OGDEN","302 Chimes View Drive, 84405",OGDEN,
